Date,Force_kN,Time_sec
Wed Apr 29 11:32:14 2020,6.871008475621541,6.813999789301306e-06
Wed Apr 29 11:32:19 2020,6.649521589279176,5.029744718999609
Wed Apr 29 11:32:24 2020,0.1519914468129476,10.040264233999551
Wed Apr 29 11:32:29 2020,1.3918073972066243,15.058887082999718
Wed Apr 29 11:32:34 2020,1.5435004234313965,20.065533377000065
Wed Apr 29 11:32:39 2020,1.544294754664103,25.076633892000245
Wed Apr 29 11:32:44 2020,1.571831703186035,30.09804957399956
Wed Apr 29 11:32:49 2020,1.3194660345713296,35.1275136080003
Wed Apr 29 11:32:54 2020,1.7084952195485434,40.13396608699986
Wed Apr 29 11:32:59 2020,1.7953677972157795,45.15219378799975
Wed Apr 29 11:33:04 2020,1.8740713596343994,50.17001113599963
Wed Apr 29 11:33:09 2020,1.9464186827341714,55.185947855999984
Wed Apr 29 11:33:14 2020,2.020930449167887,60.19745440800034
Wed Apr 29 11:33:19 2020,2.101287047068278,65.21288836799977
Wed Apr 29 11:33:24 2020,2.1493049462636313,70.22004645800007
Wed Apr 29 11:33:29 2020,2.1972286701202393,75.23454426999979
Wed Apr 29 11:33:34 2020,2.218218644460042,80.25001972999962
Wed Apr 29 11:33:39 2020,2.2412951787312827,85.25984542999959
Wed Apr 29 11:33:44 2020,2.345066865285238,90.27525855699969
Wed Apr 29 11:33:49 2020,2.338256041208903,95.29007894299957
Wed Apr 29 11:33:54 2020,2.408143679300944,100.30002129199966
Wed Apr 29 11:33:59 2020,2.4619277318318686,105.31000441800006
Wed Apr 29 11:34:04 2020,2.518054644266764,110.32017971200003
Wed Apr 29 11:34:09 2020,2.517799139022827,115.33005132000017
Wed Apr 29 11:34:14 2020,2.5194410483042398,120.34001496499968
Wed Apr 29 11:34:19 2020,2.5158576170603433,125.35004011000001
Wed Apr 29 11:34:24 2020,2.516854206720988,130.36008964400025
Wed Apr 29 11:34:29 2020,2.517190376917521,135.37001262299964
Wed Apr 29 11:34:34 2020,2.5178980827331543,140.38080076799997
Wed Apr 29 11:34:39 2020,2.51535693804423,145.39010819099985
Wed Apr 29 11:34:44 2020,2.5161401430765786,150.40002913199987
Wed Apr 29 11:34:49 2020,2.518507639567057,155.4116426290002
Wed Apr 29 11:34:54 2020,2.542104721069336,160.4298570709998
Wed Apr 29 11:34:59 2020,2.6517983277638755,165.44811451199985
Wed Apr 29 11:35:04 2020,2.6792144775390625,170.4590503420004
Wed Apr 29 11:35:09 2020,2.790318727493286,175.47721780200027
Wed Apr 29 11:35:14 2020,2.8483752409617105,180.49306624400015
Wed Apr 29 11:35:19 2020,2.9201308886210127,185.50942888899954
Wed Apr 29 11:35:24 2020,2.9788359006245932,190.52774842300005
Wed Apr 29 11:35:29 2020,2.9964439074198403,195.55005825300032
Wed Apr 29 11:35:34 2020,3.082496722539266,200.5634894169998
Wed Apr 29 11:35:39 2020,3.1669815381368003,205.58010837700022
Wed Apr 29 11:35:44 2020,3.390481472015381,210.59588379999968
Wed Apr 29 11:35:49 2020,3.4583381811777754,215.6076526859997
Wed Apr 29 11:35:54 2020,3.5008366902669272,220.6189496269999
Wed Apr 29 11:35:59 2020,3.6163938045501705,225.63656871700005
Wed Apr 29 11:36:04 2020,3.648090362548828,230.65241817700007
Wed Apr 29 11:36:09 2020,3.706178665161133,235.66389580400028
Wed Apr 29 11:36:14 2020,3.7705512841542563,240.68364948599992
Wed Apr 29 11:36:20 2020,3.843512535095215,245.69551472399962
Wed Apr 29 11:36:25 2020,3.8994745413462324,250.70691088700005
Wed Apr 29 11:36:30 2020,3.938113848368327,255.7179317729997
Wed Apr 29 11:36:35 2020,3.937079906463623,260.73625463999997
Wed Apr 29 11:36:40 2020,3.9387234052022295,265.7486805079998
Wed Apr 29 11:36:45 2020,4.236516952514648,270.76193765300013
Wed Apr 29 11:36:50 2020,4.660479625066121,275.77274855700034
Wed Apr 29 11:36:55 2020,3.9349758625030518,280.79139988800034
Wed Apr 29 11:37:00 2020,3.929320971171061,285.807170477
Wed Apr 29 11:37:05 2020,3.934191068013509,290.8230656779997
Wed Apr 29 11:37:09 2020,3.932832479476929,294.84025062
Wed Apr 29 11:37:13 2020,3.9359410603841147,298.85019926600035
Wed Apr 29 11:37:17 2020,3.929237127304077,302.86047920799956
Wed Apr 29 11:37:21 2020,3.9325066407521563,306.87028096500035
Wed Apr 29 11:37:25 2020,3.927918275197347,310.88256272200033
Wed Apr 29 11:37:29 2020,3.93342653910319,314.9008944970001
